search term,similarity to brand
0,0
1,0
2,-0.0102858
3,2.93E-06
4,3.14E-05
5,0
6,-0.000443746
7,0
8,0
9,0
10,0
11,0.000993283
12,0
13,0.000456493
14,0.999361
15,0
16,0.042734
17,-0.000638023
18,0.00085041
19,0
20,0.00559554
21,0.000137891
22,0
23,0
24,0
25,0
26,0
27,-0.00403618
28,0
29,0
30,1
31,0.00360511
32,0.00229065
33,0
34,0
35,0.998263
36,-0.0639627
37,0
38,0
39,-0.108935
40,0
41,-0.00949609
42,-0.00949609
43,-0.0263659
44,0
45,0.000162696
46,0.000108461
47,0
48,0.884492
49,0.00210806
50,0.000233034
51,0
52,-0.00167183
53,-3.68E-05
54,-0.00276656
55,-0.00167183
56,-0.0114194
57,0
58,0
59,-0.00280078
60,0.00761187
61,0.998926
62,-0.000212487
63,-0.000237245
64,-0.0522414
65,0
66,-0.0522414
67,-0.0522414
68,1
69,-6.17E-05
70,0
71,0
72,3.58E-06
73,-0.00100415
74,0.00283795
75,-8.22E-05
76,0.683046
77,-1.96E-06
78,-1.96E-06
79,0.201182
80,-8.37E-05
81,0
82,1
83,0
84,0
85,0.748094
86,0.00295696
87,1
88,0.998103
89,-0.00038481
90,-0.00050669
91,0
92,-0.00050669
93,0.0186207
94,0
95,0
96,1
97,0
98,0
99,-0.18158
100,-0.18158
101,0
102,1.75E-05
103,-0.0584562
104,-0.0584562
105,-0.0584562
106,0.0228625
107,0.0385843
108,0.072438
109,-0.000358784
110,0
111,-8.11E-07
112,0.86764
113,0.867623
114,0.998087
115,1
116,0
117,0
118,7.02E-05
119,-6.43E-06
120,0
121,0.000917557
122,1
123,-0.0180817
124,-0.000126695
125,-0.0195336
126,-0.0200213
127,-0.0200213
128,0.726076
129,0.726076
130,0.726076
131,-0.0180817
132,-0.0180817
133,-0.0180817
134,1
135,-0.000131687
136,6.71E-06
137,-0.000381111
138,6.71E-06
139,-0.000303166
140,-0.000303166
141,-0.000271019
142,0.0280766
143,-0.0131255
144,-0.0520127
145,0
146,-0.000266381
147,-0.00114046
148,0
149,-0.105232
150,0
151,0.0320989
152,-0.141131
153,0
154,-0.0195771
155,0.00438148
156,0
157,0
158,0
159,1
160,0.000150843
161,-4.52E-08
162,0.000137796
163,0
164,-4.52E-08
165,-4.52E-08
166,-0.0361922
167,-0.0361922
168,-0.0788273
169,0
170,0.727861
171,1
172,0.998075
173,0
174,0
175,-0.183117
176,0.179424
177,-0.0443871
178,0
179,0.999575
180,-0.00173251
181,0.000115441
182,0.000337453
183,0.951044
184,0.0462374
185,0
186,0.832511
187,-0.0788396
188,0.0632202
189,0
190,-0.000198336
191,-9.02E-06
192,0
193,0
194,-0.000215074
195,0
196,0
197,-0.000743725
198,7.73E-08
199,7.73E-08
200,0.000105746
201,-0.00144021
202,0.999993
203,1
204,0.00156873
205,0
206,0
207,0.996902
208,-0.00229589
209,0
210,0.0272002
211,0.0359002
212,0
213,-4.94E-06
214,0
215,-0.0866078
216,0.0992454
217,0.099626
218,0.000289512
219,0
220,1
221,0.998103
222,0.000574251
223,0.000205355
224,-0.0377216
225,0
226,0.128851
227,0
228,0.154271
229,0.154271
230,0
231,0
232,0
233,0
234,-0.297372
235,-0.297372
236,0.240133
237,0
238,0
239,0
240,8.73E-05
241,-0.00481469
242,0.0113953
243,0
244,-0.00189939
245,0.0112596
246,0.99791
247,-8.12E-05
248,0
249,0
250,0
251,0
252,0
253,0.015967
254,0
255,0
256,1
257,1
258,-0.00326382
259,-0.0214368
260,-0.00956559
261,0.999574
262,-0.0143959
263,-0.00353136
264,0
265,0
266,0
267,-0.0018549
268,-0.0018549
269,-6.71E-06
270,0
271,-0.000217807
272,0.000305507
273,-2.65E-05
274,0
275,-0.000217807
276,-0.000402459
277,-0.000217807
278,-0.000774363
279,0.000788733
280,-0.000163607
281,8.73E-05
282,8.73E-05
283,0.000160605
284,0
285,-0.00116114
286,1
287,1
288,0.999881
289,-0.00989471
290,-0.000827904
291,0.00735205
292,0.00735205
293,-0.00176643
294,0.156072
295,0.967149
296,0
297,0
298,0.999838
299,-0.000144574
300,-0.000144574
301,0
302,-6.05E-13
303,0
304,0.00757793
305,-0.0195468
306,0.0153875
307,0
308,0
309,0.999455
310,2.02E-06
311,2.02E-06
312,0.104892
313,-0.0746222
314,0.00500857
315,0.104892
316,0
317,0.788852
318,0
319,0
320,0.99875
321,-0.00868162
322,0
323,-0.184374
324,0.521757
325,-1.23E-05
326,-0.000936355
327,0
328,-0.135958
329,-0.0336704
330,1
331,0
332,0.974409
333,0.00367785
334,0
335,0.000460288
336,0.00761187
337,4.14E-05
338,-0.0768182
339,0.0294209
340,-0.00792699
341,0.117627
342,0.0230651
343,0.0695577
344,0.114285
345,0.0966141
346,0.00624183
347,0.993258
348,-0.00212054
349,0.993258
350,0.992461
351,0.993258
352,1
353,1
354,1
355,1
356,1
357,1
358,-0.00251619
359,-0.0247539
360,-0.0162532
361,0
362,-0.0400978
363,0
