search term,similarity to product description
0,0.0895488
1,0.0339118
2,0.0816722
3,0.115982
4,0.237233
5,0.374526
6,0.243774
7,0.275352
8,0.255229
9,0.176262
10,0.0599959
11,0.548676
12,0.079429
13,0.578148
14,0.291372
15,0.0750123
16,0.358489
17,0.115961
18,0.0254507
19,0.00810812
20,0.085164
21,0.0979136
22,0.2819
23,0.266185
24,0.209967
25,0.359556
26,0.29669
27,0.139499
28,0.237669
29,0.222615
30,0.335615
31,0.522543
32,0.265004
33,0.553362
34,0.39405
35,0.0481179
36,0.169193
37,0.220625
38,0.073003
39,0.185306
40,0.0902973
41,0.1497
42,0.148278
43,0.208845
44,0.0449649
45,0.333311
46,0.186716
47,0.0631057
48,0.361685
49,-0.0119969
50,0.303142
51,0.0662269
52,0.289244
53,0.125775
54,0.271019
55,0.290962
56,0.0855965
57,0.136886
58,0.223335
59,0.122532
60,0.0788644
61,0.211143
62,0.285122
63,0.267103
64,0.17214
65,0.0988429
66,0.193065
67,0.224659
68,0.0326702
69,0.324484
70,0.58094
71,0.123299
72,0.0434628
73,0.156912
74,0.460894
75,0.120287
76,0.0979895
77,0.43315
78,0.43315
79,0.320758
80,0.391464
81,0.562176
82,0.281801
83,0.0
84,0.0
85,0.122014
86,0.30116
87,0.152238
88,0.25491
89,0.237468
90,0.270947
91,0.215742
92,0.152838
93,0.127786
94,0.613904
95,0.804931
96,0.849381
97,0.251356
98,0.84516
99,0.0534913
100,0.0954422
101,0.0172337
102,0.0728227
103,0.370428
104,0.372777
105,0.370428
106,0.147466
107,0.0375925
108,0.0784589
109,0.0373171
110,0.573981
111,0.211907
112,0.206456
113,0.573537
114,0.380904
115,0.502098
116,0.719616
117,0.646433
118,0.000646506
119,0.69737
120,0.705309
121,0.488048
122,0.702082
123,0.627816
124,0.329235
125,0.417276
126,0.570796
127,0.628317
128,0.635211
129,0.635211
130,0.593132
131,0.582178
132,0.567838
133,0.580893
134,0.318336
135,0.373137
136,0.21635
137,0.557109
138,0.0739143
139,0.0964388
140,0.101187
141,0.381746
142,0.17228
143,0.0367555
144,0.230548
145,0.0130533
146,0.182643
147,0.136588
148,0.0751523
149,0.458144
150,-0.0374005
151,0.056614
152,0.0436695
153,0.0728218
154,0.086033
155,0.359618
156,0.218893
157,0.0418036
158,0.00220339
159,0.275808
160,0.275525
161,0.534711
162,0.197354
163,0.181706
164,0.534711
165,0.545928
166,0.19272
167,0.19272
168,0.321621
169,0.0
170,0.575876
171,0.330158
172,0.298194
173,0.279243
174,0.268865
175,0.546215
176,0.0772613
177,0.397626
178,0.107389
179,0.257212
180,0.357752
181,0.0804325
182,0.0504494
183,0.420272
184,0.186486
185,0.129404
186,0.142439
187,0.20453
188,0.0887577
189,0.0166135
190,0.0439561
191,0.104824
192,0.544312
193,0.27789
194,0.476527
195,0.39595
196,0.121285
197,0.13561
198,0.388769
199,0.380282
200,0.00258217
201,0.253124
202,0.303855
203,0.189563
204,0.288422
205,0.15741
206,0.159105
207,0.257431
208,0.130967
209,0.0599588
210,0.400414
211,0.124489
212,0.455924
213,0.451975
214,0.0550271
215,0.0302223
216,0.445854
217,0.314975
218,0.032442
219,0.402994
220,0.271701
221,0.230703
222,0.183463
223,0.218556
224,0.398942
225,0.132403
226,0.0286252
227,0.156333
228,0.578027
229,0.581233
230,0.174057
231,0.215381
232,0.146503
233,0.20289
234,0.191587
235,0.065547
236,0.0296756
237,0.139477
238,0.101738
239,-0.0764069
240,0.0913974
241,0.198304
242,0.111391
243,0.0727069
244,0.189997
245,0.0665693
246,0.450013
247,0.212121
248,0.507396
249,0.224663
250,0.45815
251,0.41595
252,0.381487
253,0.187102
254,0.0284715
255,0.0
256,0.0606842
257,0.0803537
258,0.306621
259,0.153143
260,0.282068
261,0.281108
262,0.264528
263,0.243815
264,0.161823
265,0.155488
266,0.038909
267,0.0295969
268,0.151225
269,0.658617
270,-0.0114642
271,0.156989
272,0.119741
273,0.176871
274,0.370327
275,0.156989
276,0.274771
277,0.156989
278,0.0729474
279,0.189435
280,0.340145
281,0.249103
282,0.145284
283,0.287799
284,0.322267
285,0.456469
286,0.24663
287,0.222284
288,0.249701
289,0.0300303
290,0.193912
291,0.040583
292,0.0893027
293,0.115669
294,0.221479
295,0.321654
296,0.149151
297,0.144676
298,0.0873069
299,0.079137
300,0.0440789
301,-0.0147794
302,0.314515
303,0.238092
304,0.752917
305,0.309427
306,0.158411
307,0.0973013
308,0.0
309,0.481754
310,0.360646
311,0.346075
312,0.134774
313,0.157461
314,0.198933
315,0.205538
316,0.398375
317,0.220618
318,0.100969
319,0.0107406
320,0.0443717
321,0.431857
322,0.0
323,0.376391
324,0.307939
325,0.0721022
326,0.116939
327,0.0494006
328,0.455021
329,0.0442193
330,0.244474
331,0.023037
332,0.606615
333,0.180686
334,0.173942
335,0.167173
336,0.0495015
337,0.0308097
338,0.227712
339,0.204881
340,0.0807162
341,0.133475
342,0.0555691
343,0.221795
344,0.0324888
345,0.0605877
346,0.2262
347,0.472286
348,0.0386551
349,0.390943
350,0.476822
351,0.469568
352,0.392975
353,0.392975
354,0.427583
355,0.461468
356,0.393306
357,0.29537
358,0.0392959
359,0.332928
360,0.457087
361,0.0
362,0.412513
363,0.398646
364,0.443452
365,0.142943
366,0.306579
367,0.225892
368,0.108004
369,0.28357
370,0.140762
371,0.0901008
372,0.257422
373,0.192379
374,0.247708
375,0.222227
376,0.0533239
377,0.143524
378,0.164914
379,0.0840668
380,0.022749
381,0.0721506
382,0.146064
383,0.304815
384,0.241999
385,0.241051
386,0.218199
387,0.229132
388,0.506177
389,0.249593
390,0.22745
391,0.22086
