product_uid,materials
104704,Zinc Rubber
104702,Vinyl
104703,Acrylic
116729,Cedar Plastic/Metal/Wood
104741,Plastic
116721,Glass
128708,Metal
128709,Steel
104738,Steel
128705,Stainless Steel
128707,Constructed of Composite Board and highly durable PVC laminate
116719,PEX Brass
175095,Laminate
116718,Stainless Steel
175094,Oil
175097,Steel
175091,Plywood
175090,Steel
104750,Plastic Plastic
175092,Plastic
116712,Porcelain-Coated Cast Iron
116717,Manufactured from certified Environmentally Preferred laminated particle panels.
175088,Steel
175087,Polyester Latex Other Synthetic
104746,Wood
175089,PVC
116708,Rubber
116704,Composite
104722,Ceramic
104720,Galvanized Steel
104724,Marble Solid Wood Marble
104781,Metal
102121,Metal Metal
104784,Particle Board
102120,Composite
102123,Steel
102122,Paper
128754,Metal
153711,Plastic
116769,Aluminum
116771,Steel
116773,PVC
116772,Galvanized Steel
114112,Nylon
141720,Plastic Plastic
114113,Glass
116774,Vinyl
141722,Plastic
102113,Aluminum
102116,Black malleable iron Iron
104775,Travertine
102115,Metal Composite
128747,Wood
102117,MDF PB Engineered Wood
128749,Steel
141725,Cork
141728,Metal Steel
102119,Aluminum
104792,Plastic
104795,Wood
128740,Quartz
102131,ABS
102134,Fiberglass
104793,Metal
102133,Zinc Rubber
116754,Ceramic
153701,Plastic
116756,Recycled Materials
116758,Aluminum
114100,Blended
114101,Fiberglass
116764,Steel
128734,Particle Board
102127,Vitreous China
128736,Steel
102129,Comfort Grip
141738,Porcelain Solid Wood Oak Porcelain
165716,Glass
165715,Brass
128730,Acrylic
153730,Foam Steel
165714,Porcelain Solid Wood Porcelain
102101,Aluminum
165713,No Handle
102100,Plastic
165711,Oil
116743,Thermoplastic rubber (TPR)
165710,Aluminum
116746,Steel
116751,Porcelain-Coated Cast Iron Painted Steel
141742,Wood
138103,Oil
141744,Zinc
104753,Porcelain-Coated Cast Iron Porcelain
141746,Natural
128725,Plastic
138102,Oil
104759,Powder-Coated Steel
138100,Aluminum
141747,Vinyl
128728,Porcelain
104758,Wood
165707,Stainless Steel - DZR Brass
138109,Acrylic
165705,Plastic
102110,Plastic Metal
165704,Brass
104774,Cedar
165703,Cardboard Proprietary
102111,Acrylic
104772,Steel
153721,Plastic Glass
165701,Vinyl
116733,Laminate Medium Density Fiberboard paper resin (both acrylic and melamine) polyurethane hot metal and olefin hot metal adhesive
165700,Cardboard Proprietary
116732,Brass Brass Solid Brass
116734,Glass
128719,Metal
102103,Brass Brass
104766,Copper
138114,Steel
138115,Steel
102105,Cross-Linked Polyethylene (PEX)
128713,Aluminum
138112,Metal
104765,Plastic
128714,Wood High Carbon Steel
128715,Zinc Steel
138110,Wood Carbide
102106,Steel
128716,Ceramic
102109,Metal Composite
128717,Thermoplastic
102108,Manufactured from certified Environmentally Preferred laminated particle panel.
165709,Copper Copper
102161,Plastic
128794,Carbide Multi-Purpose
128795,Wood High Carbon Steel
102164,Painted Steel
128796,Laminate
102167,Aluminum
102166,Composite
114147,Wire Steel
126136,Laminate
114148,HDF (High Density Fiber-board) Oak
126134,Metal
114150,Composite
114152,Steel
114154,Steel Steel
114155,Composite
114156,Wood
126127,Metal Metal
114157,Metal
128789,Metal
102172,Fiberglass
102171,Steel
102176,Concrete
102175,Particle Board
102178,Bamboo
102177,Acrylic
114137,Vinyl
114138,Fiberglass
102170,Metal
102169,Metal
102168,Steel
128770,Aluminum
141707,Wood Plastic/Wood
102141,Aluminum
128772,Metal
102142,Stainless Steel
102145,Brass
102144,Polyethylene
114126,Plastic
116789,Cast Iron
126110,Copper
116790,Steel
116793,Vinyl
126109,Die Cast Aluminum
114132,PEX Brass
114133,Steel
116794,Steel
116797,Acrylic
114135,Wood
104799,Other Other
102138,Vinyl
128768,Wire Wire
141702,Metal
102137,Plastic Steel
141701,Metal
102139,Metal
141703,Vinyl
141706,Wood
102151,Polyfiber Aluminum
102154,Other
102153,Steel
102155,Bi-Metal Multi-Purpose
114114,Composite
126102,PVC
126101,Wood
126100,Plastic
116781,PVC PVC
116786,Steel
114124,Cotton
116785,Polyester Fabric
102147,Vinyl
102149,Other
128757,Wood
102148,Wood Other Wood
126051,Stainless Steel
153670,PEX Brass
102086,Ceramic
102085,Steel
138039,Plastic
165658,Vinyl
102089,Laminate
153678,Polyester Latex Other Synthetic
126058,Acrylic
165655,Polyfiber Aluminum
165654,Stainless Steel Plastic
165653,Steel
102080,Steel
126054,Concrete
165651,Metal
126053,Cast Metal
165650,Steel
102081,Plastic
114074,Vinyl
138041,Ceramic
141680,Cardboard Proprietary
141683,Steel
114077,Wood
177638,Steel
114078,Wood
151007,Glass
114079,Plastic Steel
177636,Ceramic
126049,Vinyl
151005,Vinyl
177637,Steel
151004,Wood
177635,Medium Density Fiberboard (MDF)
138046,Wood
138047,Die-Cast Stainless Steel
177633,Porcelain-Coated Steel
177631,Metal
138042,Metal
114072,Wood
102094,Metal
153662,Oil
102099,Aluminum
165649,Steel
102098,Plastic
165647,Cardboard Fiberglass
165646,Ceramic
126048,Multi-Purpose Brass
165645,Rubber
165644,Plastic
126046,Plastic
165643,Aluminum
165642,Brass
102091,Bamboo
126044,Wire Glass
165641,Wood
126043,Brass Brass Ceramic
165640,Nylon Stainless Steel
126041,Brass
141691,Multi-Purpose
177627,Metal
151018,Jute Synthetic
177628,Steel
114068,Polyester
151017,Soft Plastic Plastic
177625,Aluminum Aluminum
114069,Stainless steel Other
177624,Fiberglass
138055,Plastic Plastic
151011,Wood
177620,Metal
138053,Oil
114061,Galvanized Steel
102061,Aluminum
128693,Wood
177660,Stainless Steel
128694,Acrylic
102065,Steel Steel Solid-surface materials
102068,Metal
102067,Vinyl
153699,Composite
163015,Stainless Steel
126036,Cast Iron
165676,Travertine
126034,Composite Maple
163014,Plastic
165675,Pine
163012,Acrylic
165673,Glass
138063,Granite
114054,Vinyl
114057,Paper
102059,Medium Density Fiberboard (MDF)
177656,Plastic
102058,Stainless Steel
151024,Red Oak
177654,Ceramic
177655,Metal
151021,No Handle
177653,Vinyl
177651,Steel
102073,Metal Metal
128681,Vitreous China Medium Density Fiberboard (MDF) Granite
151040,Galvanized Steel
153681,Wood
102072,Porcelain
153684,Galvanized Steel
102077,Bamboo
153685,Aluminum
102076,Galvanized Steel
153686,Water
102079,Steel
153687,Multi-Purpose PVC
165669,Steel Plated/Coated Steel
128688,Vinyl
165668,Brass
163005,Cardboard Proprietary
114039,Porcelain Solid Wood Marble
165664,Copper Brass
165663,Wood
165662,Plastic Steel
102071,Particle Board
126020,PVC
165661,Other
165660,Plastic
114044,Plastic
177647,Ceramic
126016,Vinyl
151038,Comfort Grip
177645,Particle Board Particle Board
138079,Polyester Latex Other Synthetic
177643,Copper
177644,Steel Brass
138077,PVC PVC
177641,Steel
151032,wood
177642,Aluminum
138076,Metal
177640,Polyethylene
165619,Acrylic
165617,Wood
165616,Porcelain
165615,Copper
165614,PVC
165612,Other Vinyl
165610,Stainless Steel
153639,Concrete
141645,Brass Ceramic
138003,Steel
126084,Plastic
165609,Metal
165608,Steel
165606,Polyester Latex Other Synthetic
138008,Vitreous China
165605,Brass and Stainless Steel
153620,Steel
165604,Other Multi-Purpose
165601,Metal
165600,Other Plywood Engineered stone composite
126089,Bronze
153629,Resin
141650,Ceramic
141653,Plastic
138015,Copper Copper
138014,Composite
138010,Fiberglass
126071,Other Domestic Oak
165639,PVC
165637,Bi-Metal Multi-Purpose
153654,Steel
165636,Vinyl
138018,Vinyl
165633,Frameless Synthetic
165632,Plastic
153659,Steel
165630,Composite MDF
126074,Vinyl
114095,Steel
114097,Ceramic
141661,Stainless Steel
177619,Vitreous China
141663,PVC PVC
177616,Plastic
141662,Steel
177614,Jute Synthetic
141664,Polyurethane
177615,Acrylic
138027,Galvanized Steel
141666,Aluminum
138024,Wood
138025,Vinyl
141668,Water
177611,Metal
114091,Plastic
114093,Other Granite
138021,Steel
165628,Steel
153641,Metal
165627,Metal
165626,Plastic
165624,Steel
126068,Vitreous China Medium Density Fiberboard (MDF) Granite
153647,Plastic
126067,Brass
165620,Wood
126066,Metal
114084,Vinyl
141670,Galvanized Steel
138030,Composite Medium Density Fiberboard (MDF) Engineered quartz composite
177608,Plastic
177606,Vitreous China Medium Density Fiberboard (MDF) Marble
141676,Plastic
177603,Oak Oak
141675,Metal
141678,Metal Ceramic
138038,Steel
138036,Stainless Steel
114081,Hemlock and Metal
138034,Plastic
175062,Steel
175061,Aluminum
175064,Nylon Stainless Steel
175060,Metal
163080,Porcelain
175059,Polyurethane
175054,Plastic
151086,Resin
175057,Composite MDF
175056,Polyfiber Cast Aluminum
175053,Steel
175052,Ceramic Fireclay
163064,Vinyl
175048,Plastic
175047,Glass
175044,Acrylic
175043,Graffiti
151096,Aluminum
175084,Wood Wood
175083,Metal
175086,Stainless Steel
175080,Oak
175081,Stainless Steel
163097,Ceramic
175077,Steel
175073,Steel
175074,Wood
163096,Metal
175066,Jute Synthetic
175065,Carbon Steel
175068,Other Domestic Hickory
175067,Steel
177681,HDF Core Laminate
177682,Plastic
165699,Brass
165698,Wood
165696,Wood Carbide
165694,Galvanized Steel
165693,Metal
163040,Polyester
175018,Metal
175015,PVC
177679,Quartz
175016,Steel
177677,Steel
175011,Stainless Steel
138089,Wood High Carbon Steel
175010,Pine
177675,Steel Fiberglass
138086,Polycarbonate
175013,Metal Rubber
175012,Glass
177670,PVC
151061,Glue Steel
177671,Water
151060,Steel Other
163029,Other
165687,Steel
163023,Other Domestic Oak
165684,Metal
165683,Water
175007,Metal
175009,Vinyl
175004,Resin
177667,Vitreous China
151058,Ceramic
175003,Aluminum
175006,Brass
151056,Plastic
175000,Cotton Wool & Wool Blend
177663,Ceramic
177664,Aluminum
175002,Vitreous China
