id,product_uid,similarity_search_term_to_title,similarity_search_term_to_description,similarity_search_term_to_brand,similarity_search_term_to_materials,relevance
2,100001,0.185883,0.0895488,0,0,3
3,100001,-0.0014601,0.0339118,0,0,2.5
9,100002,0.0646404,0.0816722,-0.0102858,0,3
16,100005,0.393078,0.115982,2.93E-06,0,2.33
17,100005,0.582569,0.237233,3.14E-05,0,2.67
18,100006,0.186541,0.374526,0,0,3
20,100006,0.532908,0.243774,-0.000443746,0,2.67
21,100006,0,0.275352,0,0,3
23,100007,0.0491668,0.255229,0,-1.56E-05,2.67
27,100009,0.338325,0.176262,0,2.57E-05,3
34,100010,0.0107444,0.0599959,0,0,2.67
35,100011,0.758958,0.548676,0.000993283,0,3
37,100011,0.374194,0.079429,0,0,3
38,100011,0.610681,0.578148,0.000456493,0,2
48,100012,0.466638,0.291372,0.999361,0,2.67
51,100013,0.0443681,0.0750123,0,0,2.67
65,100016,0.139244,0.358489,0.042734,0,3
69,100017,0.0131458,0.115961,-0.000638023,0.000886095,1
75,100017,0.00519319,0.0254507,0.00085041,3.41E-05,1.67
81,100017,0.00597309,0.00810812,0,-0.00198263,2.33
85,100017,0.0068642,0.085164,0.00559554,0,2.33
88,100019,0.0345584,0.0979136,0.000137891,1.50E-06,1.33
90,100019,0.480943,0.2819,0,0,2.67
92,100019,0.510884,0.266185,0,0,2.33
101,100019,0.424467,0.209967,0,2.57E-05,1.33
105,100019,0.213681,0.359556,0,0,2.33
106,100019,0.360237,0.29669,0,0,2.33
113,100021,-0.0193849,0.139499,-0.00403618,0,2
114,100021,0.142876,0.237669,0,0,2.33
117,100022,0.0773676,0.222615,0,0,2.67
120,100022,0.753496,0.335615,1,0,2
122,100022,0.436718,0.522543,0.00360511,8.18E-06,2.33
123,100023,0.469697,0.265004,0.00229065,0.496027,3
125,100023,0.501815,0.553362,0,1,2
127,100023,-0.0301766,0.39405,0,0,2
136,100026,0.12221,0.0481179,0.998263,0,2
138,100026,0.00103531,0.169193,-0.0639627,0,2.33
143,100027,0.0367393,0.220625,0,0,2.33
147,100028,-0.00133108,0.073003,0,-8.14E-06,2
149,100028,0.0259268,0.185306,-0.108935,0,2.67
150,100028,0.021654,0.0902973,0,-8.14E-06,1.67
157,100028,0.099932,0.1497,-0.00949609,-0.000100561,2.33
158,100028,0.125589,0.148278,-0.00949609,-0.000100561,1.67
162,100029,0.13169,0.208845,-0.0263659,0,3
164,100030,0.0104559,0.0449649,0,0,1.67
165,100030,0.349891,0.333311,0.000162696,8.49E-05,3
166,100030,0.386367,0.186716,0.000108461,0,1.67
172,100033,0.0778523,0.0631057,0,0,3
177,100033,0.307221,0.361685,0.884492,1,3
178,100033,-0.000372394,-0.0119969,0.00210806,0,1
179,100033,0.172348,0.303142,0.000233034,0.775798,3
181,100033,0.113599,0.0662269,0,0,2.67
182,100033,0.00914749,0.289244,-0.00167183,1.62E-06,2.67
186,100033,0.00228413,0.125775,-3.68E-05,-1.78E-06,3
191,100033,0.0904984,0.271019,-0.00276656,1.39E-06,2.67
193,100033,0.0140594,0.290962,-0.00167183,0,3
195,100034,0.127935,0.0855965,-0.0114194,-0.474345,1
201,100036,0.561275,0.136886,0,0,2.33
202,100036,0.799776,0.223335,0,7.92E-05,2.33
203,100036,0.412596,0.122532,-0.00280078,-0.000145575,3
