id,product_uid,relevance,similarity_search_term_to_title,similarity_search_term_to_description,similarity_search_term_to_brand,similarity_search_term_to_materials
2,100001,3,0.120177,0.136677,0,3.32E-06
3,100001,2.5,-0.0124154,-0.00723391,0.000613005,3.32E-06
9,100002,3,0.119436,0.0195146,0.100363,0
16,100005,2.33,0.387897,0.127794,-3.32E-05,0
17,100005,2.67,0.66033,0.263285,-2.10E-05,0
18,100006,3,0.235726,0.465152,0,0
20,100006,2.67,0.619291,0.466584,0.00131615,0
21,100006,3,0.6311,0.572657,0,0
23,100007,2.67,0.696545,0.625607,0.820424,-0.00284313
27,100009,3,0.469666,0.454019,0,6.26E-06
34,100010,2.67,0.0286024,0.32116,-0.016304,1
35,100011,3,0.801345,0.652263,0.00556211,0
37,100011,3,0.397672,0.314107,0,0
38,100011,2,0.7265,0.677747,-4.04E-05,0
48,100012,2.67,0.506118,0.307983,0.999909,0
51,100013,2.67,0.0782845,0.335214,0,0
65,100016,3,0.17762,0.849214,0.139821,0
69,100017,1,0.0591192,0.142852,-0.00604501,-0.000256398
75,100017,1.67,-0.00359158,0.0402671,0.019219,7.86E-06
81,100017,2.33,-0.000620299,0.0274338,-0.0424423,-0.000351435
85,100017,2.33,0.0752635,0.18896,-0.0299303,0
88,100019,1.33,0.0567482,0.171298,0.00971703,-4.55E-08
90,100019,2.67,0.409561,0.232779,0.0133755,-2.40E-06
92,100019,2.33,0.40818,0.226016,0.0133755,-2.40E-06
101,100019,1.33,0.530577,0.527815,0,6.26E-06
105,100019,2.33,0.17762,0.434638,0.0569935,0
106,100019,2.33,0.478277,0.312152,0.0133755,-2.40E-06
113,100021,2,-0.0368279,0.226985,0.117403,0
114,100021,2.33,0.141788,0.382341,0,0
117,100022,2.67,0.584916,0.370063,0,0
120,100022,2,0.778463,0.505044,1,0
122,100022,2.33,0.403447,0.607115,0.00283727,-3.31E-05
123,100023,3,0.587135,0.550514,0.00361893,0.474013
125,100023,2,0.667416,0.734446,0.0370061,1
127,100023,2,0.18116,0.381573,0.065166,0
136,100026,2,0.194497,0.117264,0.510922,0
138,100026,2.33,-0.000564571,0.257009,-0.0042537,0
143,100027,2.33,0.102158,0.351989,0.10542,0
147,100028,2,0.360775,0.398542,0.116581,7.79E-07
149,100028,2.67,0.036139,0.284007,-0.0292144,0
150,100028,1.67,0.223233,0.159416,0,7.79E-07
157,100028,2.33,0.110714,0.254344,0.113738,-2.67E-05
158,100028,1.67,0.0891114,0.261098,0.113738,-2.67E-05
162,100029,3,0.0812764,0.316353,0.043467,0
164,100030,1.67,0.0433511,0.0255386,0.00259858,0
165,100030,3,0.476419,0.65627,-2.69E-06,8.05E-06
166,100030,1.67,0.418584,0.198836,-0.000653081,0
172,100033,3,0.164455,0.490997,-0.00326709,0
177,100033,3,0.39299,0.561813,0.856721,1
178,100033,1,0.0658581,0.102869,0.004531,0
179,100033,3,0.189491,0.39258,3.89E-05,0.783016
